EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,BACKBONE,HIDDEN_SIZE,DIM,DT_RANK,D_STATE,TRAIN_LOSS,VAL_LOSS,VAL_ACCURACY,TEST_LOSS,TEST_ACCURACY
0,50,0.42120681,0.00010000,16,21668,radmamba,8,8,2,1,1.24647559,1.04242234,79.70822281,1.04242234,79.70822281
1,50,0.76738342,0.00010000,16,21668,radmamba,8,8,2,1,0.99732391,0.95780228,79.97347480,0.95780228,79.97347480
2,50,1.12610503,0.00010000,16,21668,radmamba,8,8,2,1,0.91243530,0.88505179,84.88063660,0.88505179,84.88063660
3,50,1.48119357,0.00010000,16,21668,radmamba,8,8,2,1,0.83737278,0.83346348,90.71618037,0.83346348,90.71618037
4,50,1.85083342,0.00010000,16,21668,radmamba,8,8,2,1,0.76796051,0.75557802,91.77718833,0.75557802,91.77718833
5,50,2.30008446,0.00010000,16,21668,radmamba,8,8,2,1,0.70211598,0.69192311,92.30769231,0.69192311,92.30769231
6,50,2.75090572,0.00010000,16,21668,radmamba,8,8,2,1,0.64175914,0.62390724,93.89920424,0.62390724,93.89920424
7,50,3.21221136,0.00010000,16,21668,radmamba,8,8,2,1,0.58330141,0.58158136,93.36870027,0.58158136,93.36870027
8,50,3.67711171,0.00010000,16,21668,radmamba,8,8,2,1,0.53085351,0.51745467,95.22546419,0.51745467,95.22546419
9,50,4.12261874,0.00010000,16,21668,radmamba,8,8,2,1,0.47573681,0.48601680,95.09283820,0.48601680,95.09283820
10,50,4.56556569,0.00010000,16,21668,radmamba,8,8,2,1,0.42878516,0.42428124,97.34748011,0.42428124,97.34748011
11,50,5.02729967,0.00010000,16,21668,radmamba,8,8,2,1,0.39002090,0.38209156,97.74535809,0.38209156,97.74535809
12,50,5.52044644,0.00010000,16,21668,radmamba,8,8,2,1,0.34652365,0.40200390,94.56233422,0.40200390,94.56233422
13,50,5.97778653,0.00010000,16,21668,radmamba,8,8,2,1,0.32142940,0.31740725,98.40848806,0.31740725,98.40848806
14,50,6.31390926,0.00010000,16,21668,radmamba,8,8,2,1,0.28221968,0.28942801,97.74535809,0.28942801,97.74535809
15,50,6.65454120,0.00010000,16,21668,radmamba,8,8,2,1,0.25364912,0.25629600,98.67374005,0.25629600,98.67374005
16,50,6.99102039,0.00010000,16,21668,radmamba,8,8,2,1,0.22992701,0.22820512,98.80636605,0.22820512,98.80636605
17,50,7.32651756,0.00005000,16,21668,radmamba,8,8,2,1,0.20152993,0.21362784,98.80636605,0.21362784,98.80636605
18,50,7.66618515,0.00005000,16,21668,radmamba,8,8,2,1,0.18791159,0.19817822,99.07161804,0.19817822,99.07161804
19,50,7.99228017,0.00005000,16,21668,radmamba,8,8,2,1,0.17778148,0.20024934,98.40848806,0.20024934,98.40848806
20,50,8.36638081,0.00005000,16,21668,radmamba,8,8,2,1,0.17017578,0.17686879,99.07161804,0.17686879,99.07161804
21,50,8.73382503,0.00005000,16,21668,radmamba,8,8,2,1,0.16041798,0.17117917,99.07161804,0.17117917,99.07161804
22,50,9.08620007,0.00005000,16,21668,radmamba,8,8,2,1,0.14868754,0.16044985,99.07161804,0.16044985,99.07161804
23,50,9.42967777,0.00005000,16,21668,radmamba,8,8,2,1,0.14096040,0.15124599,99.07161804,0.15124599,99.07161804
24,50,9.78202861,0.00005000,16,21668,radmamba,8,8,2,1,0.13136279,0.14123425,99.33687003,0.14123425,99.33687003
25,50,10.13563596,0.00005000,16,21668,radmamba,8,8,2,1,0.12525651,0.14086936,99.20424403,0.14086936,99.20424403
26,50,10.50135235,0.00005000,16,21668,radmamba,8,8,2,1,0.11701233,0.13038417,99.33687003,0.13038417,99.33687003
27,50,10.86118363,0.00005000,16,21668,radmamba,8,8,2,1,0.11200941,0.12252265,99.20424403,0.12252265,99.20424403
28,50,11.21510756,0.00005000,16,21668,radmamba,8,8,2,1,0.10256937,0.11966703,99.33687003,0.11966703,99.33687003
29,50,11.57459638,0.00005000,16,21668,radmamba,8,8,2,1,0.09723601,0.12655851,99.07161804,0.12655851,99.07161804
30,50,11.91894950,0.00005000,16,21668,radmamba,8,8,2,1,0.09346064,0.10268054,99.33687003,0.10268054,99.33687003
31,50,12.26075513,0.00005000,16,21668,radmamba,8,8,2,1,0.08856826,0.09588924,99.46949602,0.09588924,99.46949602
32,50,12.61142768,0.00005000,16,21668,radmamba,8,8,2,1,0.08339048,0.09026907,99.33687003,0.09026907,99.33687003
33,50,12.95666546,0.00002500,16,21668,radmamba,8,8,2,1,0.07474992,0.08961368,99.33687003,0.08961368,99.33687003
34,50,13.30009900,0.00002500,16,21668,radmamba,8,8,2,1,0.07170431,0.08586674,99.60212202,0.08586674,99.60212202
35,50,13.66136600,0.00002500,16,21668,radmamba,8,8,2,1,0.06924968,0.08712500,99.33687003,0.08712500,99.33687003
36,50,14.02410606,0.00002500,16,21668,radmamba,8,8,2,1,0.06709027,0.08451201,99.33687003,0.08451201,99.33687003
37,50,14.38225514,0.00002500,16,21668,radmamba,8,8,2,1,0.06496622,0.08126230,99.33687003,0.08126230,99.33687003
38,50,14.73849289,0.00002500,16,21668,radmamba,8,8,2,1,0.06260283,0.07941926,99.46949602,0.07941926,99.46949602
39,50,15.09391493,0.00002500,16,21668,radmamba,8,8,2,1,0.06062501,0.07429519,99.46949602,0.07429519,99.46949602
40,50,15.46204440,0.00002500,16,21668,radmamba,8,8,2,1,0.05957807,0.10764722,98.01061008,0.10764722,98.01061008
41,50,15.82915975,0.00002500,16,21668,radmamba,8,8,2,1,0.05804637,0.07028476,99.46949602,0.07028476,99.46949602
42,50,16.18082091,0.00002500,16,21668,radmamba,8,8,2,1,0.05463951,0.07198993,99.46949602,0.07198993,99.46949602
43,50,16.52779700,0.00002500,16,21668,radmamba,8,8,2,1,0.05226868,0.06719748,99.33687003,0.06719748,99.33687003
44,50,16.89592393,0.00002500,16,21668,radmamba,8,8,2,1,0.05057495,0.06620727,99.60212202,0.06620727,99.60212202
45,50,17.25309456,0.00002500,16,21668,radmamba,8,8,2,1,0.04885198,0.06677677,99.46949602,0.06677677,99.46949602
46,50,17.60392499,0.00002500,16,21668,radmamba,8,8,2,1,0.05009957,0.06119910,99.60212202,0.06119910,99.60212202
47,50,17.97631691,0.00002500,16,21668,radmamba,8,8,2,1,0.04565748,0.06021193,99.46949602,0.06021193,99.46949602
48,50,18.33912880,0.00002500,16,21668,radmamba,8,8,2,1,0.04362947,0.05894888,99.60212202,0.05894888,99.60212202
49,50,18.68081545,0.00001250,16,21668,radmamba,8,8,2,1,0.04123621,0.05815458,99.46949602,0.05815458,99.46949602
